# time (year)	NINO3.4 index (thresh =+-0.4)
2013.352	-0.253
2013.380	-0.234
2013.407	-0.215
2013.435	-0.235
2013.462	-0.269
2013.489	-0.302
2013.517	-0.303
2013.544	-0.293
2013.572	-0.283
2013.599	-0.235
2013.626	-0.168
2013.654	-0.100
2013.681	-0.118
2013.708	-0.205
2013.736	-0.292
2013.763	-0.269
2013.791	-0.159
2013.818	-0.050
2013.845	0.002
2013.873	-0.014
2013.900	-0.031
2013.927	-0.109
2013.955	-0.260
2013.982	-0.412
2014.010	-0.515
2014.037	-0.527
2014.064	-0.540
2014.092	-0.521
2014.119	-0.403
2014.146	-0.285
2014.174	-0.154
2014.201	-0.006
2014.229	0.143
